Detector,E_log,LogCounts,y_calibrated,ydy
# Detector n:            1   Engy_SV,7.644222742526002e-08,0.0,1.4913483391678777,0.0
# Detector n:            1   Engy_SV,7.943282347242814e-08,0.0,1.5496933220168783,0.0
# Detector n:            1   Engy_SV,8.254041852680186e-08,0.0,1.610320895012156,0.0
# Detector n:            1   Engy_SV,8.576958985908941e-08,0.0,1.6733203583389427,0.0
# Detector n:            1   Engy_SV,8.912509381337455e-08,0.0,1.7387845058114528,0.0
# Detector n:            1   Engy_SV,9.261187281287933e-08,0.0,1.8068097615516927,0.0
# Detector n:            1   Engy_SV,9.623506263980888e-08,0.0,1.8774963220154683,0.0
# Detector n:            1   Engy_SV,1.0000000000000001e-07,0.0,1.95094830357477,0.0
# Detector n:            1   Engy_SV,1.039122303835169e-07,0.0,2.0272738958739294,0.0
# Detector n:            1   Engy_SV,1.0797751623277095e-07,0.0,2.1065855211854165,0.0
# Detector n:            1   Engy_SV,1.122018454301963e-07,0.0,2.189,0.0
# Detector n:            1   Engy_SV,1.1659144011798323e-07,0.0,2.274638723095187,0.0
# Detector n:            1   Engy_SV,1.211527658628589e-07,0.0,2.363627830335359,0.0
# Detector n:            1   Engy_SV,1.2589254117941675e-07,0.0,2.4560983964669996,0.0
# Detector n:            1   Engy_SV,1.3081774742601944e-07,0.0,2.552186624182653,0.0
# Detector n:            1   Engy_SV,1.3593563908785258e-07,0.0,2.6520340447379818,0.0
# Detector n:            1   Engy_SV,1.4125375446227541e-07,0.0,2.7557877264174326,0.0
# Detector n:            1   Engy_SV,1.4677992676220693e-07,0.0,2.8636004911555655,0.0
# Detector n:            1   Engy_SV,1.5252229565390184e-07,0.0,2.975631139633093,0.0
# Detector n:            1   Engy_SV,1.5848931924611143e-07,0.0,3.092044685179212,0.0
# Detector n:            1   Engy_SV,1.646897865482869e-07,0.0,3.213012596824713,0.0
# Detector n:            1   Engy_SV,1.7113283041617812e-07,0.0,3.3387130518639143,0.0
# Detector n:            1   Engy_SV,1.778279410038923e-07,0.0,3.4693311982973793,0.0
# Detector n:            1   Engy_SV,1.8478497974222908e-07,0.0,3.6050594275420003,0.0
# Detector n:            1   Engy_SV,1.9201419386388011e-07,0.0,3.746097657810139,0.0
# Detector n:            1   Engy_SV,1.995262314968879e-07,0.0,3.8926536285752023,0.0
